INSTRUMENT,COMPANY,MIN TRADED QUANTITY,MARGIN,LONG POSITION SWAP,SHORT POSITION SWAP,MARKET HOURS *
MMM,3M Company,5,5%,-0.019029,-0.008155,1:30 pm to 8:00 pm
MNST,Monster Beverage Corp.,1,5%,-0.004637,-0.001987,1:30 pm to 8:00 pm
MobTeleSyst,Mobilnye Telesystemy PAO,20,20%,-0.090996,0.057294,7:00 am to 3:30 pm
Morrisons,Wm. Morrison Supermarkets plc,200,5%,-0.000201,-0.000134,7:00 am to 3:30 pm
MRK,Merck & Co. Inc.,10,5%,-0.0062,-0.002657,1:30 pm to 8:00 pm
MRK.DE,Merck KGaA,1,5%,-0.007489,-0.007483,7:00 am to 3:30 pm
MS,MEDIASET,10,5%,-0.000253,-0.000253,7:00 am to 3:25 pm
MS.USA,Morgan Stanley,15,5%,-0.004064,-0.001742,1:30 pm to 8:00 pm
MSFT,Microsoft Corporation,15,5%,-0.006577,-0.002819,1:30 pm to 8:00 pm
MUV2,Munchener Ruck AG,5,5%,-0.01198,-0.011971,7:00 am to 3:30 pm
NAB,National Australia Bank Ltd.,10,5%,-0.003582,-0.000632,12:03 am to 6:00 am
NaturalResources,Canadian Natural Resources Ltd,4,5%,-0.0035,-0.002333,1:30 pm to 8:00 pm
NesteOil,Neste Oil Corporation,20,5%,-0.00258,-0.002578,7:00 am to 3:30 pm
Nestle,Nestle SA,4,5%,-0.004568,-0.006852,7:00 am to 3:20 pm
Netflix,Netflix Inc.,1,5%,-0.015267,-0.006543,1:30 pm to 8:00 pm
NewmontMining,Newmont Mining Corporation,10,10%,-0.00327,-0.001401,1:30 pm to 8:00 pm
Next,Next plc,2,5%,-0.00369,-0.00246,7:00 am to 3:30 pm
Nintendo,Nintendo Co.; Ltd,10,10%,-2.185842,-2.0177,11:05 pm to 5:00 am
Nissan,Nissan Motor Co.; Ltd.,30,5%,-0.079119,-0.073033,11:05 pm to 5:00 am
NKE,NIKE Inc.,5,5%,-0.005032,-0.002157,1:30 pm to 8:00 pm
Nokia,Nokia Oyj,50,5%,-0.000386,-0.000385,7:00 am to 3:30 pm
Nomura,Nomura Holdings; Inc.,50,5%,-0.048483,-0.044753,11:05 pm to 5:00 am
NordeaBank,Nordea Bank AB,25,5%,-0.008022,-0.007958,7:00 am to 3:25 pm
NorilskNickel,GMK Norilsk Nickel PAO,1,20%,-3.124875,1.967514,7:00 am to 3:30 pm
Novartis,Novartis AG,3,5%,-0.004378,-0.006567,7:00 am to 3:20 pm
Novatek,Novatek OAO,10,20%,-0.255994,0.161181,7:00 am to 3:30 pm
